ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2756265176,1107.3333333333333,1205.0,-97.66666666666667,1
0,2756265176,3055.6666666666665,3152.6666666666665,-97.0,2
0,2756265176,3039.3333333333335,3725.6666666666665,-686.3333333333334,3
0,2756265176,3573.6666666666665,3721.3333333333335,-147.66666666666666,4
0,2756265176,3842.0,5152.333333333333,-1310.3333333333333,5
0,2756265176,6213.333333333333,5766.333333333333,447.0,6
0,2756265176,5060.333333333333,8265.666666666666,-3205.3333333333335,7
0,2756265176,4917.666666666667,5627.0,-709.3333333333334,8
0,2756265176,6597.333333333333,5224.0,1373.3333333333333,9
0,2757139247,2500.0,2500.0,0.0,1
0,2757139247,821.0,583.0,238.0,2
0,2757139247,396.0,1594.0,-1198.0,3
0,2757139247,1864.0,3750.0,-1886.0,4
0,2757139247,1592.0,4904.0,-3312.0,5
0,2757139247,4361.0,3613.0,748.0,6
0,2757139247,3309.0,4406.0,-1097.0,7
0,2757139247,2292.0,6174.0,-3882.0,8
0,2757139247,3211.0,1898.0,1313.0,9
0,2757164302,1009.6666666666666,870.6666666666666,139.0,1
0,2757164302,3548.0,3735.6666666666665,-187.66666666666666,2
0,2757164302,3699.6666666666665,4666.333333333333,-966.6666666666666,3
0,2757164302,4976.666666666667,4320.666666666667,656.0,4
0,2757164302,5896.666666666667,3119.3333333333335,2777.3333333333335,5
0,2757164302,6038.0,6015.0,23.0,6
0,2757164302,3956.0,5692.0,-1736.0,7
0,2757164302,5619.666666666667,5668.0,-48.333333333333336,8
0,2757164302,7884.0,7043.333333333333,840.6666666666666,9
0,2757334493,1250.0,1500.0,-250.0,1
0,2757334493,2011.0,1321.0,690.0,2
0,2757334493,4701.0,3294.0,1407.0,3
0,2757334493,2234.5,5514.5,-3280.0,4
0,2757334493,6449.5,2623.5,3826.0,5
0,2757334493,3511.5,5411.0,-1899.5,6
0,2757334493,6341.5,3164.5,3177.0,7
0,2757334493,3937.0,6308.5,-2371.5,8
0,2757334493,6615.5,2840.0,3775.5,9
0,2757344038,922.6666666666666,1232.3333333333333,-309.6666666666667,1
0,2757344038,2644.0,2225.3333333333335,418.6666666666667,2
0,2757344038,4076.6666666666665,2426.6666666666665,1650.0,3
0,2757344038,4445.666666666667,2931.6666666666665,1514.0,4
0,2757344038,6182.0,3832.6666666666665,2349.3333333333335,5
0,2757344038,5507.0,4306.666666666667,1200.3333333333333,6
0,2757344038,5178.666666666667,2731.6666666666665,2447.0,7
0,2757344038,6349.666666666667,5756.0,593.6666666666666,8
0,2757344038,5262.0,5459.666666666667,-197.66666666666666,9
0,2757417224,1250.0,1250.0,0.0,1
