ind,gameID,1,2,3,4,5,6,7,8,9
0,2756265176,-97.66666666666669,-97.0,-686.3333333333334,-147.66666666666666,-1310.3333333333333,447.0,-3205.333333333333,-709.3333333333335,1373.3333333333333
1,2757139247,0.0,238.0,-1198.0,-1886.0,-3312.0,748.0,-1097.0,-3882.0,1313.0
2,2757164302,139.0,-187.66666666666663,-966.6666666666665,656.0,2777.333333333333,23.0,-1736.0,-48.33333333333334,840.6666666666665
3,2757334493,-250.0,690.0,1407.0,-3280.0,3826.0,-1899.5,3177.0,-2371.5,3775.5
4,2757344038,-309.6666666666667,418.66666666666674,1650.0,1514.0,2349.333333333333,1200.3333333333333,2447.0,593.6666666666666,-197.66666666666663
5,2757417224,0.0,-441.5,548.0,-1443.5,1413.5,3955.5,5705.5,7548.5,1165.0
6,2757609008,164.5,448.0,88.0,2652.0,891.0,826.0,708.5,623.0,5423.0
7,2757642400,202.33333333333331,1301.6666666666667,2332.6666666666665,184.0,3749.0,6185.666666666668,5089.333333333333,7063.333333333332,1177.0
8,2758041096,-257.5,239.5,293.0,-980.0,-3090.5,-1436.0,-780.5,-3654.5,-1762.5
9,2758738837,0.0,-1129.5,-941.5,-2038.5,-3938.5,209.5,-1488.0,559.5,468.0
10,2759000499,0.0,-594.0,-746.0,1097.0,585.0,2543.0,1537.0,4112.0,3769.0
11,2759024018,0.0,538.5,2394.5,1325.5,3428.5,583.5,8126.5,3843.5,1545.5
12,2759132098,-109.0,597.5,687.5,3851.0,1797.5,1387.0,-54.5,-1242.5,1045.0
13,2759257697,0.0,-365.0,434.0,1694.0,-2943.0,3676.0,1994.0,62.0,-3626.0
14,2760780298,75.0,1257.0,881.0,2153.0,2409.0,-1011.0,986.0,-541.5,130.0
15,2760805828,0.0,120.0,519.0,-772.0,-4074.0,-282.0,-2661.0,-4839.0,-9875.0
16,2760983874,0.0,688.5,620.5,2089.5,-1082.0,1915.5,-2247.0,-439.5,255.5
17,2761203040,-77.5,86.0,2140.5,4235.5,-484.5,-1271.0,82.5,-412.0,-4588.0
18,2761508815,97.5,1314.5,-38.0,4699.0,-2468.0,1686.5,-2227.5,2072.5,-1669.0
19,2761535163,-100.0,415.0,1946.0,2769.5,-377.5,2222.0,6293.0,-3293.5,2636.0
20,2761551580,-132.0,137.0,2467.5,-1713.0,-1568.0,1029.5,4141.0,-262.5,431.0
21,2761581064,378.33333333333326,-42.66666666666666,766.0,2977.0,-192.0,821.3333333333335,2241.0,1414.666666666667,3451.333333333333
22,2762065106,-252.0,-589.5,74.5,-329.5,-86.5,1078.0,-92.0,814.0,-1147.5
23,2762076235,12.5,141.5,456.5,-300.0,1460.5,2995.0,97.5,1169.5,-110.0
24,2762130228,2.0,-202.0,-830.3333333333335,831.6666666666665,75.33333333333333,620.6666666666666,-941.6666666666665,2028.333333333333,1428.666666666667
25,2762156399,153.66666666666666,673.6666666666666,-2403.6666666666665,599.3333333333334,-594.6666666666666,-238.66666666666663,2099.333333333333,3261.0,1468.666666666667
26,2762266260,46.66666666666666,1065.3333333333333,-600.6666666666666,-1574.333333333333,785.3333333333335,1951.333333333333,14.333333333333336,2014.666666666667,991.3333333333335
27,2762372735,-5.333333333333333,1018.6666666666665,818.3333333333335,-1577.0,-1279.6666666666667,-1630.0,740.6666666666665,-619.6666666666666,165.66666666666666
28,2762425666,14.666666666666664,295.3333333333333,326.0,770.3333333333335,-498.0,1218.0,-1080.3333333333333,581.0,-2206.333333333333
29,2762464661,-44.33333333333334,817.3333333333335,-900.0,-1120.6666666666667,-299.3333333333333,-1280.3333333333333,-676.3333333333334,-590.0,1119.0
30,2762513636,243.25,-309.75,1045.75,622.5,-177.5,2363.25,861.0,-954.25,2487.0
