win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2762685802,Blue,1,1,0,1,1.0,2.0,9.0,53549.0,2.0
2762685802,Red,0,0,1,0,0.0,0.0,1.0,41898.0,1.0
2763625812,Blue,1,1,1,1,0.0,2.0,11.0,58048.0,3.0
2763625812,Red,0,0,0,0,0.0,0.0,2.0,41029.0,0.0
2765175660,Blue,1,1,0,1,1.0,3.0,9.0,56426.0,3.0
2765175660,Red,0,0,1,0,0.0,0.0,1.0,39537.0,0.0
2774056465,Blue,1,0,1,1,0.0,0.0,8.0,55748.0,2.0
2774056465,Red,0,0,0,0,0.0,0.0,0.0,40752.0,0.0
2775572322,Blue,1,0,0,1,0.0,0.0,2.0,48370.0,1.0
2775572322,Red,0,1,1,0,0.0,2.0,9.0,56857.0,1.0
2786524710,Blue,0,0,1,0,0.0,0.0,0.0,41071.0,1.0
2786524710,Red,1,1,0,1,0.0,3.0,11.0,59937.0,2.0
2792171032,Blue,0,0,0,0,0.0,0.0,1.0,41329.0,0.0
2792171032,Red,1,1,1,1,1.0,3.0,11.0,58055.0,2.0
2797066760,Blue,0,0,1,1,0.0,0.0,3.0,41937.0,1.0
2797066760,Red,1,1,0,0,1.0,2.0,11.0,54605.0,1.0
2803440296,Blue,0,0,0,0,0.0,0.0,0.0,42397.0,0.0
2803440296,Red,1,1,1,1,0.0,2.0,10.0,56501.0,3.0
2811162576,Blue,1,0,0,1,0.0,0.0,5.0,50001.0,1.0
2811162576,Red,0,1,1,0,0.0,1.0,7.0,51389.0,1.0
2811221008,Blue,0,0,0,1,0.0,0.0,3.0,44772.0,0.0
2811221008,Red,1,1,1,0,0.0,1.0,7.0,50664.0,3.0
2814073002,Blue,0,0,1,0,0.0,0.0,1.0,39968.0,1.0
2814073002,Red,1,1,0,1,0.0,2.0,10.0,53273.0,2.0
2824061828,Blue,0,1,0,1,1.0,1.0,7.0,53025.0,2.0
2824061828,Red,1,0,1,0,0.0,0.0,5.0,47966.0,1.0
2829212468,Blue,1,1,0,1,0.0,1.0,9.0,57425.0,3.0
2829212468,Red,0,0,1,0,0.0,0.0,1.0,44337.0,0.0
2832517576,Blue,0,0,0,1,0.0,0.0,4.0,51774.0,1.0
2832517576,Red,1,0,1,0,0.0,0.0,2.0,43118.0,2.0
2840558747,Blue,0,1,0,1,1.0,2.0,11.0,55597.0,1.0
2840558747,Red,1,0,1,0,0.0,0.0,1.0,42605.0,2.0
2842481784,Blue,1,0,0,0,0.0,0.0,0.0,43494.0,1.0
2842481784,Red,0,1,1,1,1.0,2.0,10.0,60631.0,1.0
2845987946,Blue,0,0,0,1,0.0,0.0,3.0,50664.0,0.0
2845987946,Red,1,1,1,0,1.0,2.0,11.0,59798.0,3.0
2846183468,Blue,0,0,1,0,0.0,0.0,3.0,45946.0,0.0
2846183468,Red,1,0,0,1,0.0,0.0,3.0,51623.0,2.0
2846256335,Blue,1,0,1,0,0.0,0.0,5.0,56272.0,2.0
2846256335,Red,0,0,0,1,0.0,0.0,3.0,48865.0,0.0
2849920141,Blue,0,0,1,0,0.0,0.0,0.0,42799.0,0.0
2849920141,Red,1,1,0,1,1.0,3.0,11.0,58516.0,2.0
2851648545,Blue,0,1,1,1,0.0,1.0,6.0,50372.0,0.0
2851648545,Red,1,0,0,0,0.0,0.0,1.0,43610.0,1.0
2852185353,Blue,0,0,0,0,0.0,0.0,2.0,45907.0,2.0
2852185353,Red,1,1,1,1,1.0,1.0,5.0,54198.0,1.0
2853926406,Blue,0,1,0,1,0.0,2.0,9.0,56169.0,1.0
2853926406,Red,1,0,1,0,0.0,0.0,1.0,44518.0,2.0
2856227923,Blue,0,1,0,0,0.0,3.0,11.0,55930.0,1.0
2856227923,Red,1,0,1,1,0.0,0.0,3.0,47386.0,1.0
2856870615,Blue,1,1,0,1,1.0,2.0,10.0,52032.0,3.0
2856870615,Red,0,0,1,0,0.0,0.0,1.0,42205.0,0.0
2857833933,Blue,0,0,0,0,0.0,0.0,1.0,39148.0,0.0
2857833933,Red,1,1,1,1,1.0,3.0,9.0,54466.0,2.0
2858509492,Blue,1,1,1,0,1.0,1.0,7.0,51620.0,3.0
2858509492,Red,0,0,0,1,0.0,0.0,5.0,48823.0,0.0
2858920009,Blue,0,0,0,0,0.0,0.0,1.0,39743.0,0.0
2858920009,Red,1,1,1,1,1.0,2.0,10.0,55785.0,2.0
2859627900,Blue,1,1,1,1,0.0,1.0,10.0,55654.0,1.0
2859627900,Red,0,0,0,0,1.0,0.0,0.0,44587.0,1.0
2862998470,Blue,1,1,0,1,1.0,3.0,11.0,65478.0,1.0
2862998470,Red,0,0,1,0,0.0,0.0,3.0,46785.0,0.0
2863497019,Blue,0,0,0,0,0.0,0.0,1.0,47573.0,0.0
